[Tue Jan 12 18:48:17.107045 2016] [:error] [pid 1867] [client 127.0.0.1:52601] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 18:48:17.107087 2016] [:error] [pid 1867] [client 127.0.0.1:52601] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 18:48:17.107128 2016] [:error] [pid 1867] [client 127.0.0.1:52601] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 18:48:17.107166 2016] [:error] [pid 1867] [client 127.0.0.1:52601] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 18:49:05.882776 2016] [:error] [pid 4243] [client 127.0.0.1:52612] PHP Notice:  Access to undefined property setStatus in /var/www/enbay-com-vn/app/controllers/IndexController.php on line 24
[Tue Jan 12 18:49:05.885379 2016] [:error] [pid 4243] [client 127.0.0.1:52612] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 18:49:05.885483 2016] [:error] [pid 4243] [client 127.0.0.1:52612] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 18:49:05.885531 2016] [:error] [pid 4243] [client 127.0.0.1:52612] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 18:49:05.885582 2016] [:error] [pid 4243] [client 127.0.0.1:52612] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 18:49:05.885621 2016] [:error] [pid 4243] [client 127.0.0.1:52612] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 18:50:37.194824 2016] [:error] [pid 1866] [client 127.0.0.1:52623] PHP Notice:  Access to undefined property setStatus in /var/www/enbay-com-vn/app/controllers/IndexController.php on line 24
[Tue Jan 12 18:50:37.197005 2016] [:error] [pid 1866] [client 127.0.0.1:52623] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 18:50:37.197110 2016] [:error] [pid 1866] [client 127.0.0.1:52623] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 18:50:37.197192 2016] [:error] [pid 1866] [client 127.0.0.1:52623] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
